Igandean	D1aD0n
,	O
gosaldu	O
ondoren	O
itzuliko	D1kD0o
dira	D3dR1rzI0n
Iruñera	↑D1r
,	O
eta	O
Berrioplanoko	↑D2oD1k
El	O
Toro	O
hotelean	D2eD1aD0n
jarraituko	D1kD0o
dute	I4*I4eR1tnD0e
kontzentrazioa	D0a
,	O
partidua	D0a
jokatzeko	R3zuD2eD1kD0o
ordua	D0a
heldu	O
arte	O
.	O

Osasun	1
publikoan	D1aD0n
eta	O
erretiroko	D2oD1k
pentsioetan	D3eD2tD1aD0n
ere	O
aurreikusita	D1tD0a
dago	R3deD2aI0n
oinarrizko	O
erreformak	D0k
egitea	R2tnD1eD0a
.	O

Kurba	1
hauei	R0ik
begiratzeak	R3zuD2eD1aD0k
funtzionamendua	D0a
ulertzen	R2zuD1eD0n
lagunduko	D1kD0o
digu	R3d*R2ieR1gdI0n
.	O

Hala	1
ondorioztatu	O
zuen	R3z*R2ueR1edI1u
atzo	O
Eduardo	O
Stein	O
Guatemalako	↑D1kD0o
Atzerri	1
ministro	O
ohi	O
eta	O
OEA	R1ehR0ae
Amerikako	↑D1kD0o
Estatuen	D1eD0n
Erakundearen	D4eD3aD2rD0n
Peruko	↑D1kD0o
bozetarako	D6eD5tD4aD3rD2aD1kD0o
misioko	D2oD1k
buruzagiak	D1aD0k
.	O

Negoziazio	1
horiek	O
irailean	D2eD1aD0n
bukatu	O
beharra	D2rD0a
daukate	R6deR5adR2aiD1tD0e
Estatu	1
palestinarraren	D6aD5rD4rD1eD0n
aldarrikapenarekin	D7eD6nD5aD4rD2kD1i
.	O

Andra	O
Mari	O
Zuriaren	↑D2rD1eD0n
txapelketan	D0n
,	O
aldiz	O
,	O
finalerdietan	D3eD2tD1aD0n
gurutzatuko	D1kD0o
dira	D3dR1rzI0n
,	O
lehenbizikoz	O
.	O

Istiluak	D1aD0k
areagotu	O
egin	O
ziren	D4zR2rzR1ea
atzo	O
Israelgo	↑D1gD0o
Armadak	D0k
eta	O
PANek	↑D1eD0k
hartutako	D3tD2aD1kD0o
erabakia	D0a
jakin	O
aurretik	D2tD1iD0k
.	O

Iñaki	O
Rekarte	O
presoak	D1aD0k
gutun	O
bat	O
igorri	O
du	I2*I2eI0n
isolamenduan	D1aD0n
jasaten	D2tD1e
dituen	R5d*R4ieR3tdD1e
"	O
presio	O
eta	O
kontrolak	D1aD0k
"	O
salatuz	D0z
.	O

Orain	1
atseden	O
hartuko	D1kD0o
dut	I3*I3eR0tn
lesioa	D0a
gainditzeko	R3zuD2eD1kD0o
helburuarekin	D5aD4rD3eD2kD1iD0n
.	O

Epe	1
honetan	D5oD4nD3eD2tR0nu
,	O
behin	O
betiko	O
hitzarmen	O
bat	O
sinatu	O
behar	O
